"Question","Correct Answer","Wrong 1","Wrong 2"
"Yumurta sevmiyorum.","I don't like eggs.","I not like eggs.","I don't to like eggs."
"Köpeğimi gezdiriyorum.","I am walking my dog.","I am walk my dog.","I walking my dog."
"Doktor kan testini inceliyor.","The doctor is examining the blood test.","The doctor is examine the blood test.","The doctor examining the blood test."
"Bankalar eski para kabul etmiyor.","Banks don't accept old money.","Banks not accept old money.","Banks don't to accept old money."
"Şoför arabayı yıkıyor.","The driver is washing the car.","The driver is wash the car.","The driver washing the car."
"Modemi açmıyorsunuz.","You aren't turning on the modem.","You aren't turn on the modem.","You not turning on the modem."
"Devlet interneti kontrol ediyor.","The government controls the internet.","The government to control the internet.","The government controlling the internet."
"Burada mı yaşıyorsunuz?","Do you live here?","You do live here?","Do you living here?"
"Doktorlar kan almıyor.","Doctors don't take blood.","Doctors not take blood.","Doctors don't taking blood."
"Pilot uçağı kontrol ediyor mu?","Is the pilot checking the plane?","Is the pilot check the plane?","The pilot is checking the plane?"
"Bu oteli tercih etmiyoruz.","We don't prefer this hotel.","We not prefer this hotel.","We don't preferring this hotel."
"Partiye geliyorlar mı?","Are they coming to the party?","Are they come to the party?","They are coming to the party?"
"Öğretmen projektörü hazırlıyor.","The teacher is preparing the projector.","The teacher is prepare the projector.","The teacher preparing the projector."
"Evde balık pişirmiyorlar.","They don't cook fish at home.","They not cook fish at home.","They don't cooking fish at home."
"Şu an çalışıyoruz.","We are working right now.","We are work right now.","We working right now."
"Genellikle akşamları okurum.","I usually read in the evenings.","I usually to read in the evenings.","I usually reading in the evenings."
"Odamı temizlemiyorum.","I am not cleaning my room.","I am not clean my room.","I not cleaning my room."
"Beni dinliyor musun?","Are you listening to me?","Are you listen to me?","You are listening to me?"
"Onlar her gün spor yapar.","They exercise every day.","They to exercise every day.","They exercising every day."
"Neden ağlıyorsun?","Why are you crying?","Why you are crying?","Why are you cry?"
