Turkish,Correct English,Fake Option 1,Fake Option 2
Bu kutu diğerinden daha büyük.,This box is bigger than the other one.,This box bigger than the other one.,This box are bigger than the other one.
"Bu, evdeki en küçük oda.",This is the smallest room in the house.,This the smallest room in the house.,This are the smallest room in the house.
Kırmızı araba mavi arabadan daha pahalı.,The red car is more expensive than the blue car.,The red car are more expensive than the blue car.,The red car more expensive than the blue car.
"O, sınıftaki en çalışkan öğrenci.",She is the most hardworking student in the class.,She the most hardworking student in the class.,She are the most hardworking student in the class.
"Ali, Ahmet kadar yaşlı.",Ali is as old as Ahmet.,Ali as old as Ahmet.,Ali are as old as Ahmet.
Çay çok sıcak.,The tea is very hot.,The tea are very hot.,The tea very hot.
Çorba aşırı tuzlu (içilemeyecek kadar).,The soup is too salty.,The soup too salty.,The soup are too salty.
Film bayağı ilginçti.,The movie was quite interesting.,The movie were quite interesting.,The movie is quite interesting.
Uçak trenden daha hızlıdır.,A plane is faster than a train.,A plane faster than a train.,A plane are faster than a train.
Çita en hızlı hayvandır.,The cheetah is the fastest animal.,The cheetah the fastest animal.,The cheetah are the fastest animal.
Sağlık paradan daha önemlidir.,Health is more important than money.,Health are more important than money.,Health more important than money.
Bu en tehlikeli yol.,This is the most dangerous road.,This the most dangerous road.,This are the most dangerous road.
Buz kar kadar soğuktur.,Ice is as cold as snow.,Ice as cold as snow.,Ice are as cold as snow.
Gitmek için çok geç (aşırı geç).,It is too late to go.,It are too late to go.,It too late to go.
Bugün çok yorgunum.,I am very tired today.,I am very tired today. isn't it?,I am very tired today.
Odan oldukça temiz.,Your room is quite clean.,Your room quite clean.,Your room are quite clean.
Yaz kıştan daha sıcaktır.,Summer is hotter than winter.,Summer hotter than winter.,Summer are hotter than winter.
Bu koltuk daha rahat.,This sofa is more comfortable.,This sofa more comfortable.,This sofa are more comfortable.
O kasabadaki en zengin adam.,He is the richest man in town.,He are the richest man in town.,He the richest man in town.
Bu soru benim için fazla (aşırı) zor.,This question is too hard for me.,This question are too hard for me.,This question too hard for me.
