"Question","Correct Answer","Wrong 1","Wrong 2"
"Bankacı parayı saymıştı.","The banker had counted the money.","The banker has counted the money.","The banker had count the money."
"Doktor hastayı arardı.","The doctor used to call the patient.","The doctor use to call the patient.","The doctor was used to call the patient."
"Hiçbir şeye dokunmak zorunda kalmadık.","We had to touch nothing.","We didn't had to touch nothing.","We had to touched nothing."
"Anahtarım yoktu, bu yüzden kapıyı açamadım.","I didn't have a key, so I could open nothing.","I didn't had a key, so I could open nothing.","I didn't have a key, so I could to open nothing."
"Öğrenciler çalışmadıklarından dolayı sınavı bitiremediler.","The students couldn't finish the exam because they didn't study.","The students couldn't finished the exam because they didn't study.","The students couldn't finish the exam because they didn't studied."
"Sistem bozulduktan sonra şifreyi değiştirdik.","We changed the password after the system broke.","We changed the password after the system breaked.","We did changed the password after the system broke."
"Kötü internetten dolayı modemi tamir etmiştik.","We'd repaired the modem due to the bad internet.","We'd repair the modem due to the bad internet.","We've repaired the modem due to the bad internet."
"Pazartesi günü doktorlar çalışmak zorundaydı.","The doctors had to work on Monday.","The doctors musted to work on Monday.","The doctors had to worked on Monday."
"Anahtarı kullanarak kapıyı açabilirsin.","You can open the door by using the key.","You can to open the door by using the key.","You can open the door by use the key."
"Polis arabada bekleyerek hırsızı yakaladı.","The police caught the thief by waiting in the car.","The police catched the thief by waiting in the car.","The police caught the thief by wait in the car."
"Şoför arabayı satmak için yıkadı.","The driver washed the car in order to sell it.","The driver washed the car in order sell it.","The driver washed the car in order to selling it."
"Avukat evi alabilsin diye bankacı parayı gönderecek.","The banker will send the money so that the lawyer can buy the house.","The banker will send the money so that the lawyer could buy the house.","The banker will send the money so that the lawyer can to buy the house."
"Arabayı sattıktan sonra bankacı zenginleşti.","The banker got rich after he sold the car.","The banker did got rich after he sold the car.","The banker got rich after he selled the car."
"Hava soğuyor, bu yüzden pilot ceket giyiyor.","The weather is getting cold, so the pilot is wearing a jacket.","The weather getting cold, so the pilot wearing a jacket.","The weather are getting cold, so the pilot are wearing a jacket."
"Kimse avukatın arabayı neden sattığını anlayamadı.","Nobody could understand why the lawyer sold the car.","Nobody could understand why did the lawyer sell the car.","Nobody could to understand why the lawyer sold the car."
"Öğrenciler öğretmenin ödev verip vermeyeceğini merak ediyor.","The students wonder if the teacher will give homework.","The students wonder if will the teacher give homework.","The students wonder if the teacher will to give homework."
"Polis bankadan çalınan parayı buldu.","The police found the money stolen from the bank.","The police found the money steal from the bank.","The police finded the money stolen from the bank."
"Şoför uyuyan köpeği görmedi.","The driver didn't see the sleeping dog.","The driver didn't saw the sleeping dog.","The driver didn't see the sleeped dog."
"Doktor sabahtan beri kan testini inceliyor.","The doctor has been examining the blood test since morning.","The doctor have been examining the blood test since morning.","The doctor has been examine the blood test since morning."
"Şoförün arabayı buraya park etmesi yasak.","The driver isn't allowed to park the car here.","The driver aren't allowed to park the car here.","The driver isn't allow to park the car here."
